Name,Region,ONS Geography,"Delays per 1,000 people (18+)","Delays per 1,000 >75",Share of £2 billion additional funding for adult social care 2017 to 2020 (£),Apr,May,June,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Total so far,Daily delays,Population (18+),Population (18+ 2015),All,>75,"Delays per 1,000 people"
England,,,,,"2,021,000,000",66946,69360,68811,75396,77485,82892,85422,82921,85587,85532,780352,2550,,,,,
Cumbria,North West,E10000006,78,612,"21,793,741",3032,2694,2787,3283,2996,3077,3073,3183,3521,3943,31589,103,404600,405166,497996,51626,77.9655746
Trafford,North West,E08000009,53,492,"8,095,633",764,872,715,804,822,714,781,940,1370,1652,9434,31,178800,179151,233288,19177,52.65948836
Southampton,South East,E06000045,48,622,"9,710,902",781,1225,841,1192,936,1095,883,677,923,982,9535,31,196700,200385,249537,15320,47.58340195
Tameside,North West,E08000008,45,480,"10,296,138",552,686,629,917,825,812,1080,763,620,927,7811,26,172000,172707,221692,16282,45.22688716
Stockport,North West,E08000007,45,382,"10,556,285",342,610,771,914,1085,1322,1304,1303,1283,1186,10120,33,225200,226868,288733,26516,44.60743692
Hampshire,South East,E10000014,43,359,"37,145,068",4222,4612,4392,4490,4471,4659,5031,5177,4817,4344,46215,151,1064700,1071120,1353043,128746,43.14642617
Cornwall,South West,E06000052,43,330,"23,951,338",1563,1377,1348,1962,2043,1832,2186,1967,1967,2642,18887,62,440500,443954,549404,57228,42.54269586
Somerset,South West,E10000027,41,303,"21,686,229",1791,1665,1472,1809,1527,1932,2077,2201,1837,1466,17777,58,432700,436207,545390,58582,40.75358717
Stoke-On-Trent,West Midlands,E06000021,40,427,"12,041,181",603,490,627,1009,1098,1132,1174,928,453,343,7857,26,195300,195537,251648,18403,40.1816536
Northamptonshire,East Midlands,E10000021,38,404,"23,035,522",1777,1916,1411,1729,2504,2414,2581,2309,1987,2721,21349,70,553700,560409,723026,52848,38.09539104
Wolverhampton,West Midlands,E08000031,38,354,"12,282,568",812,876,774,735,679,649,727,769,784,639,7444,24,195300,196239,254406,21036,37.93333639
Bristol,South West,E06000023,37,469,"17,336,253",1873,1533,1324,1308,1248,1244,1254,1061,1116,1264,13225,43,350600,356594,449328,28197,37.08699529
Birmingham,West Midlands,E08000025,36,428,"51,056,185",2602,2719,2638,2707,2986,3047,2834,2937,3833,3823,30126,98,819100,827407,1111307,70415,36.41013431
West Berkshire,South East,E06000037,36,364,"1,570,027",543,588,477,348,242,436,487,428,379,412,4340,14,120100,120339,156020,11911,36.06478365
Reading,South East,E06000038,35,480,"4,037,787",153,242,359,566,573,544,597,594,458,338,4424,14,125000,125306,161739,9224,35.30557196
Sheffield,Yorkshire and The Humber,E08000019,34,355,"24,078,295",1421,1545,1212,1305,1265,1494,1649,1911,1818,1860,15480,51,448600,453896,569737,43546,34.10472884
Suffolk,East of England,E10000029,33,258,"28,052,673",1604,1825,1875,2026,1997,2315,1826,1977,2105,2105,19655,64,587200,590605,741895,76219,33.2794338
North Somerset,South West,E06000024,33,247,"7,681,156",582,589,603,713,666,475,598,738,311,260,5535,18,165700,167328,209944,22395,33.07874355
Oxfordshire,South East,E10000025,32,314,"15,942,334",1644,1699,1122,945,1389,1558,2151,1801,2281,2540,17130,56,531400,536031,677810,54551,31.95710696
Plymouth,South West,E06000026,29,288,"11,277,732",289,474,512,519,493,524,606,652,1267,772,6108,20,209800,210770,262712,21180,28.97945628
Staffordshire,West Midlands,E10000028,29,258,"30,642,074",1535,1835,1909,2029,2213,2497,2096,2004,1849,2086,20053,66,690600,693720,862562,77656,28.90647523
Warwickshire,West Midlands,E10000031,28,248,"17,768,669",1189,955,922,929,1411,1348,1148,1362,1556,1637,12457,41,439300,441340,554002,50214,28.22540445
Worcestershire,West Midlands,E10000034,28,231,"20,200,058",1184,1325,1211,1010,698,1323,1380,1777,1512,1449,12869,42,460500,463334,578593,55656,27.77478018
Manchester,North West,E08000003,27,498,"24,336,236",1049,1027,1083,1335,1172,1158,981,1069,1137,1257,11268,37,405500,413030,530292,22635,27.28131128
Shropshire,West Midlands,E06000051,27,205,"11,903,465",499,321,490,558,972,783,527,708,987,855,6700,22,250400,252091,311380,32663,26.57770408
South Tyneside,North East,E08000023,27,233,"8,265,421",331,440,382,331,336,248,220,382,256,247,3173,10,119400,119478,148671,13629,26.55719045
Dorset,South West,E10000009,26,161,"15,638,306",982,1184,1066,771,1053,808,638,645,846,924,8917,29,341000,343444,420585,55322,25.96347585
York,Yorkshire and The Humber,E06000014,25,248,"5,950,671",419,329,604,574,440,372,339,554,448,259,4338,14,167800,170157,206856,17509,25.49410251
Dudley,West Midlands,E08000027,26,220,"13,888,373",626,656,813,736,631,728,524,533,478,659,6384,21,247900,248478,316464,29030,25.69241543
East Sussex,South East,E10000011,25,171,"22,018,631",714,915,922,816,900,1274,1400,1399,1403,1261,11004,36,434400,438191,544064,64213,25.11233686
Devon,South West,E10000008,24,177,"30,344,465",1386,1285,1601,1891,1657,1550,1382,1488,1733,1343,15316,50,623200,630486,773077,86752,24.29237128
Portsmouth,South East,E06000044,24,290,"7,793,152",195,224,382,403,390,428,698,521,314,438,3993,13,165700,167992,211758,13791,23.768989
Bracknell Forest,South East,E06000036,24,295,"2,453,952",85,160,164,367,235,215,303,239,173,198,2139,7,90200,90824,118982,7242,23.55104378
North Yorkshire,Yorkshire and The Humber,E10000023,23,176,"19,584,336",713,535,958,997,1259,1343,1554,1347,1208,1325,11239,37,484200,485158,602277,63701,23.16564913
Walsall,West Midlands,E08000030,23,205,"12,608,995",354,424,493,346,392,768,523,550,523,378,4751,16,209600,210992,276095,23176,22.51744142
South Gloucestershire,South West,E06000025,22,211,"6,746,451",718,597,645,489,565,415,461,284,256,426,4856,16,214500,217209,274661,23035,22.35634803
Wiltshire,South West,E06000054,22,189,"13,515,917",734,740,752,796,952,1108,927,740,1007,721,8477,28,379200,382047,486093,44918,22.18836949
Blackburn With Darwen,North West,E06000008,22,266,"6,856,969",205,124,115,362,251,325,243,223,253,281,2382,8,108500,108615,146846,8970,21.93067256
Blackpool,North West,E06000009,22,186,"8,218,518",187,238,235,262,174,228,302,254,184,358,2422,8,111700,110893,139578,13031,21.84087363
